,,,,
Year,Pounds,Metric Tons,Dollars,Collection
1950,"18,352,600","8,325","6,412,311",Commercial
1951,"20,759,500","9,416","7,214,107",Commercial
1952,"20,036,300","9,088","8,511,821",Commercial
1953,"22,300,300","10,115","8,411,229",Commercial
1954,"21,667,700","9,828","8,087,156",Commercial
1955,"22,718,100","10,305","8,716,012",Commercial
1956,"20,572,300","9,332","9,119,807",Commercial
1957,"24,402,800","11,069","8,954,234",Commercial
1958,"21,312,000","9,667","10,445,004",Commercial
1959,"22,328,800","10,128","11,252,686",Commercial
1960,"24,014,200","10,893","10,967,018",Commercial
1961,"20,917,900","9,488","11,119,803",Commercial
1962,"22,075,300","10,013","11,195,609",Commercial
1963,"22,804,300","10,344","12,635,826",Commercial
1964,"21,413,413","9,713","14,182,536",Commercial
1965,"18,861,785","8,556","14,177,204",Commercial
1966,"19,915,800","9,034","14,904,498",Commercial
1967,"16,489,300","7,479","13,597,869",Commercial
1968,"20,501,800","9,300","14,931,671",Commercial
1969,"19,834,900","8,997","16,046,829",Commercial
1970,"18,172,200","8,243","17,201,501",Commercial
1971,"17,558,500","7,964","17,481,291",Commercial
1972,"16,256,600","7,374","18,587,455",Commercial
1973,"17,044,100","7,731","23,269,859",Commercial
1974,"16,457,600","7,465","23,212,808",Commercial
1975,"17,007,500","7,715","27,478,773",Commercial
1976,"19,001,000","8,619","29,238,371",Commercial
1977,"18,487,200","8,386","32,101,423",Commercial
1978,"19,130,600","8,678","33,878,376",Commercial
1979,"22,133,200","10,040","39,900,632",Commercial
1980,"21,980,700","9,970","41,704,744",Commercial
1981,"22,631,600","10,266","47,236,923",Commercial
1982,"22,730,100","10,310","50,343,596",Commercial
1983,"21,976,500","9,968","51,234,291",Commercial
1984,"19,545,600","8,866","49,298,087",Commercial
1985,"20,125,000","9,129","45,035,558",Commercial
1986,"19,704,400","8,938","46,171,224",Commercial
1987,"19,747,800","8,958","54,548,137",Commercial
1988,"21,738,800","9,861","60,742,438",Commercial
1989,"23,368,800","10,600","59,552,201",Commercial
1990,"28,068,238","12,732","61,627,973",Commercial
1991,"30,788,646","13,966","72,300,255",Commercial
1992,"26,830,448","12,170","71,822,699",Commercial
1993,"29,926,464","13,575","73,863,438",Commercial
1994,"38,948,867","17,667","100,936,678",Commercial
1995,"37,208,324","16,878","101,893,173",Commercial
1996,"36,083,443","16,367","106,980,557",Commercial
1997,"47,023,271","21,330","138,292,438",Commercial
1998,"47,036,836","21,336","137,189,341",Commercial
1999,"53,494,418","24,265","184,614,071",Commercial
2000,"57,215,406","25,953","187,714,817",Commercial
2001,"48,617,693","22,053","153,982,266",Commercial
2002,"63,625,745","28,860","210,950,030",Commercial
2003,"54,970,948","24,935","205,715,329",Commercial
2004,"71,574,344","32,466","289,078,847",Commercial
2005,"68,729,623","31,176","317,950,942",Commercial
2006,"75,345,905","34,177","305,443,481",Commercial
2007,"63,987,476","29,025","280,701,000",Commercial
2008,"69,911,680","31,712","245,160,173",Commercial
2009,"81,124,149","36,798","237,373,838",Commercial
2010,"96,247,042","43,657","318,232,638",Commercial
2011,"104,957,939","47,609","334,704,831",Commercial
2012,"127,464,536","57,818","342,529,903",Commercial
2013,"128,015,530","58,067","371,077,721",Commercial
2014,"124,941,312","56,673","461,851,431",Commercial
2015,"122,685,783","55,650","502,564,894",Commercial
2016,"132,749,768","60,215","541,315,536",Commercial
2017,"112,153,095","50,872","439,219,233",Commercial
2018,"121,226,471","54,988","491,573,865",Commercial
2019,"102,227,108","46,370","492,976,182",Commercial
2020,"97,916,077","44,414","412,647,684",Commercial
2021,"110,697,747","50,212","742,975,103",Commercial
2022,"98,925,387","44,872","393,213,392",Commercial
2023,"97,166,465","44,074","483,479,879",Commercial
