YEAR COUNTY POUNDS VALUE
1964 CUMBERLAND 1,992,458 $1,248,887
1964 HANCOCK 5,574,925 $3,819,740
1964 KNOX 5,918,168 $3,990,996
1964 LINCOLN 2,513,892 $1,596,701
1964 SAGADAHOC 683,257 $428,781
1964 WASHINGTON 2,824,281 $1,881,320
1964 YORK 1,413,716 $911,861
1964 TOTAL 20,920,697 $13,878,286
1965 CUMBERLAND 2,438,981 $1,760,377
1965 HANCOCK 5,062,876 $3,884,569
1965 KNOX 5,031,068 $3,782,906
1965 LINCOLN 2,137,941 $1,596,978
1965 SAGADAHOC 472,652 $345,610
1965 WASHINGTON 2,546,067 $1,915,609
1965 YORK 1,172,200 $891,155
1965 TOTAL 18,861,785 $14,177,204
1966 CUMBERLAND 2,759,135 $2,064,086
1966 HANCOCK 5,230,828 $3,916,157
1966 KNOX 5,085,871 $3,842,203
1966 LINCOLN 2,251,721 $1,662,829
1966 SAGADAHOC 501,651 $376,922
1966 WASHINGTON 2,858,597 $2,108,591
1966 YORK 1,228,013 $933,710
1966 TOTAL 19,915,816 $14,904,498
1967 CUMBERLAND 2,398,165 $1,939,418
1967 HANCOCK 4,106,538 $3,431,840
1967 KNOX 4,408,318 $3,643,992
1967 LINCOLN 1,905,352 $1,562,718
1967 SAGADAHOC 458,766 $373,002
1967 WASHINGTON 2,180,461 $1,776,625
1967 YORK 1,031,596 $870,274
1967 TOTAL 16,489,196 $13,597,869
1968 CUMBERLAND 2,990,970 $2,118,740
1968 HANCOCK 5,116,946 $3,756,795
1968 KNOX 5,612,580 $4,176,368
1968 LINCOLN 2,212,151 $1,554,841
1968 SAGADAHOC 468,812 $333,425
1968 WASHINGTON 2,924,994 $2,110,909
1968 YORK 1,175,279 $880,593
1968 TOTAL 20,501,732 $14,931,671
1969 CUMBERLAND 2,868,176 $2,287,009
1969 HANCOCK 5,258,582 $4,260,884
1969 KNOX 5,259,009 $4,339,129
1969 LINCOLN 2,266,981 $1,810,627
1969 SAGADAHOC 488,379 $399,637
1969 WASHINGTON 2,589,251 $2,028,439
1969 YORK 1,104,402 $921,104
1969 TOTAL 19,834,780 $16,046,829
1970 CUMBERLAND 2,864,275 $2,498,944
1970 HANCOCK 4,625,588 $4,493,896
1970 KNOX 4,685,018 $4,602,267
1970 LINCOLN 2,236,007 $2,065,926
1970 SAGADAHOC 505,049 $456,877
1970 WASHINGTON 2,248,415 $2,146,280
1970 YORK 1,007,917 $937,311
1970 TOTAL 18,172,269 $17,201,501
1971 CUMBERLAND 2,962,199 $2,786,716
1971 HANCOCK 4,302,251 $4,396,725
1971 KNOX 4,416,189 $4,453,354
1971 LINCOLN 2,095,061 $2,035,796
1971 SAGADAHOC 490,068 $469,240
1971 WASHINGTON 2,170,426 $2,236,846
1971 YORK 1,122,157 $1,102,614
1971 TOTAL 17,558,351 $17,481,291
1972 CUMBERLAND 2,622,846 $2,735,260
1972 HANCOCK 4,003,749 $4,775,455
1972 KNOX 4,383,479 $5,117,064
1972 LINCOLN 1,831,550 $1,996,528
1972 SAGADAHOC 526,695 $586,331
1972 WASHINGTON 1,906,159 $2,248,937
1972 YORK 981,989 $1,127,880
1972 TOTAL 16,256,467 $18,587,455
1973 CUMBERLAND 2,359,302 $3,071,620
1973 HANCOCK 4,659,668 $6,423,905
1973 KNOX 4,609,040 $6,450,114
1973 LINCOLN 1,585,130 $2,126,290
1973 NOT-SPECIFIED 97,572 $103,362
1973 SAGADAHOC 449,436 $609,732
1973 WASHINGTON 2,193,247 $3,039,310
1973 YORK 1,090,799 $1,445,526
1973 TOTAL 17,044,194 $23,269,859
1974 CUMBERLAND 3,068,091 $4,196,683
1974 HANCOCK 4,036,936 $5,647,808
1974 KNOX 3,829,720 $5,568,985
1974 LINCOLN 1,883,347 $2,636,777
1974 NOT-SPECIFIED 165,807 $240,420
1974 SAGADAHOC 466,882 $630,799
1974 WASHINGTON 1,926,350 $2,739,279
1974 YORK 1,080,533 $1,552,057
1974 TOTAL 16,457,666 $23,212,808
1975 CUMBERLAND 2,724,404 $4,328,047
1975 HANCOCK 3,885,192 $6,304,169
1975 KNOX 4,837,753 $7,731,712
1975 LINCOLN 1,875,360 $2,984,051
1975 SAGADAHOC 388,083 $615,571
1975 WASHINGTON 1,741,523 $2,830,549
1975 YORK 1,063,273 $1,726,035
1975 TOTAL 16,515,588 $26,520,134
1976 CUMBERLAND 3,110,007 $4,519,468
1976 HANCOCK 4,584,207 $7,239,797
1976 KNOX 5,158,034 $8,107,279
1976 LINCOLN 2,277,724 $3,392,486
1976 SAGADAHOC 427,541 $646,061
1976 WASHINGTON 2,488,568 $3,873,606
1976 YORK 954,972 $1,459,674
1976 TOTAL 19,001,053 $29,238,371
1977 CUMBERLAND 3,226,682 $5,323,995
1977 HANCOCK 4,205,001 $7,503,175
1977 KNOX 5,094,081 $9,073,213
1977 LINCOLN 2,413,772 $4,057,875
1977 SAGADAHOC 490,600 $787,870
1977 WASHINGTON 2,020,443 $3,579,839
1977 YORK 1,036,559 $1,775,456
1977 TOTAL 18,487,138 $32,101,423
1978 CUMBERLAND 3,596,115 $5,934,405
1978 HANCOCK 4,484,457 $8,289,614
1978 KNOX 5,365,457 $9,724,425
1978 LINCOLN 2,290,070 $3,939,448
1978 SAGADAHOC 487,927 $808,139
1978 WASHINGTON 1,935,679 $3,486,567
1978 YORK 970,754 $1,695,778
1978 TOTAL 19,130,459 $33,878,376
1979 CUMBERLAND 4,480,833 $7,759,939
1979 HANCOCK 5,295,663 $9,860,013
1979 KNOX 6,075,224 $11,031,240
1979 LINCOLN 2,305,009 $3,992,068
1979 SAGADAHOC 539,997 $943,808
1979 WASHINGTON 2,394,212 $4,432,780
1979 YORK 1,042,297 $1,880,784
1979 TOTAL 22,133,235 $39,900,632
1980 CUMBERLAND 4,611,648 $8,263,903
1980 HANCOCK 5,104,368 $10,697,291
1980 KNOX 6,045,212 $11,094,366
1980 LINCOLN 2,315,798 $4,243,301
1980 SAGADAHOC 555,410 $1,034,977
1980 WASHINGTON 2,041,003 $3,912,741
1980 YORK 1,313,455 $2,482,535
1980 TOTAL 21,986,894 $41,729,114
1981 CUMBERLAND 5,579,224 $11,103,111
1981 HANCOCK 4,746,458 $10,579,130
1981 KNOX 6,170,828 $12,954,701
1981 LINCOLN 2,208,479 $4,257,435
1981 SAGADAHOC 444,911 $886,124
1981 WASHINGTON 2,268,604 $5,027,662
1981 YORK 1,213,110 $2,428,760
1981 TOTAL 22,631,614 $47,236,923
1982 CUMBERLAND 5,261,568 $10,730,106
1982 HANCOCK 4,683,244 $11,074,364
1982 KNOX 6,482,139 $14,842,830
1982 LINCOLN 2,410,734 $4,992,894
1982 SAGADAHOC 440,816 $985,246
1982 WASHINGTON 2,308,104 $5,168,765
1982 YORK 1,143,648 $2,549,391
1982 TOTAL 22,730,253 $50,343,596
1983 CUMBERLAND 4,416,116 $9,817,101
1983 HANCOCK 4,605,315 $11,160,720
1983 KNOX 6,409,731 $15,226,090
1983 LINCOLN 2,719,334 $6,066,982
1983 SAGADAHOC 507,968 $1,179,713
1983 WASHINGTON 2,102,073 $4,978,461
1983 YORK 1,216,018 $2,805,224
1983 TOTAL 21,976,555 $51,234,291
1984 CUMBERLAND 4,338,359 $10,718,752
1984 HANCOCK 3,242,341 $8,448,884
1984 KNOX 5,266,101 $13,363,418
1984 LINCOLN 3,004,389 $7,506,168
1984 SAGADAHOC 622,056 $1,563,829
1984 WASHINGTON 1,962,383 $4,871,950
1984 YORK 1,110,053 $2,825,134
1984 TOTAL 19,545,682 $49,298,135
1985 CUMBERLAND 4,533,636 $9,801,714
1985 HANCOCK 3,745,265 $8,592,995
1985 KNOX 5,407,181 $12,170,058
1985 LINCOLN 2,740,767 $6,016,037
1985 SAGADAHOC 520,048 $1,162,365
1985 WASHINGTON 1,706,873 $3,802,041
1985 YORK 1,471,407 $3,490,348
1985 TOTAL 20,125,177 $45,035,558
1986 CUMBERLAND 4,849,236 $11,080,754
1986 HANCOCK 3,506,325 $8,480,346
1986 KNOX 4,766,660 $11,111,098
1986 LINCOLN 2,725,809 $6,395,265
1986 SAGADAHOC 603,101 $1,414,965
1986 WASHINGTON 1,824,153 $4,205,278
1986 YORK 1,429,033 $3,483,518
1986 TOTAL 19,704,317 $46,171,224
1987 CUMBERLAND 4,559,383 $11,888,723
1987 HANCOCK 3,497,830 $10,052,882
1987 KNOX 5,090,703 $14,411,711
1987 LINCOLN 2,437,208 $6,707,997
1987 SAGADAHOC 546,418 $1,493,718
1987 WASHINGTON 2,262,085 $6,094,344
1987 YORK 1,354,139 $3,898,762
1987 TOTAL 19,747,766 $54,548,137
1988 CUMBERLAND 5,112,196 $13,818,159
1988 HANCOCK 3,591,152 $10,627,748
1988 KNOX 5,843,876 $16,263,371
1988 LINCOLN 2,638,248 $7,190,508
1988 SAGADAHOC 539,410 $1,498,831
1988 WASHINGTON 2,498,102 $6,994,500
1988 YORK 1,516,083 $4,349,321
1988 TOTAL 21,739,067 $60,742,438
1989 CUMBERLAND 5,608,429 $13,065,569
1989 HANCOCK 4,250,571 $11,726,236
1989 KNOX 6,390,475 $16,601,508
1989 LINCOLN 2,594,524 $6,451,529
1989 NOT-SPECIFIED 116,850 $308,484
1989 SAGADAHOC 529,325 $1,359,354
1989 WASHINGTON 2,334,633 $5,812,471
1989 YORK 1,543,912 $4,227,060
1989 TOTAL 23,368,719 $59,552,211
1990 CUMBERLAND 6,787,884 $13,629,935
1990 HANCOCK 5,106,442 $11,711,525
1990 KNOX 7,590,126 $17,147,472
1990 LINCOLN 3,494,217 $7,383,200
1990 SAGADAHOC 736,903 $1,646,795
1990 WASHINGTON 2,254,275 $5,116,366
1990 YORK 2,098,391 $4,992,680
1990 TOTAL 28,068,238 $61,627,973
1991 CUMBERLAND 7,749,756 $16,988,836
1991 HANCOCK 6,170,719 $15,478,852
1991 KNOX 7,437,632 $17,438,775
1991 LINCOLN 4,113,817 $9,233,186
1991 SAGADAHOC 747,107 $1,690,358
1991 WASHINGTON 2,315,861 $5,715,437
1991 YORK 2,253,754 $5,719,903
1991 TOTAL 30,788,646 $72,265,347
1992 CUMBERLAND 6,828,259 $16,811,285
1992 HANCOCK 3,679,896 $11,338,289
1992 KNOX 7,603,133 $20,555,537
1992 LINCOLN 3,849,510 $9,716,413
