,YEAR,COUNTY,POUNDS,VALUE,FIPS
0,1964,Cumberland,1992458,1248887,005
1,1964,Hancock,5574925,3819740,009
2,1964,Knox,5918168,3990996,013
3,1964,Lincoln,2513892,1596701,015
4,1964,Sagadahoc,683257,428781,023
5,1964,Washington,2824281,1881320,029
6,1964,York,1413716,911861,031
7,1964,Total,20920697,13878286,
8,1965,Cumberland,2438981,1760377,005
9,1965,Hancock,5062876,3884569,009
10,1965,Knox,5031068,3782906,013
11,1965,Lincoln,2137941,1596978,015
12,1965,Sagadahoc,472652,345610,023
13,1965,Washington,2546067,1915609,029
14,1965,York,1172200,891155,031
15,1965,Total,18861785,14177204,
16,1966,Cumberland,2759135,2064086,005
17,1966,Hancock,5230828,3916157,009
18,1966,Knox,5085871,3842203,013
19,1966,Lincoln,2251721,1662829,015
20,1966,Sagadahoc,501651,376922,023
21,1966,Washington,2858597,2108591,029
22,1966,York,1228013,933710,031
23,1966,Total,19915816,14904498,
24,1967,Cumberland,2398165,1939418,005
25,1967,Hancock,4106538,3431840,009
26,1967,Knox,4408318,3643992,013
27,1967,Lincoln,1905352,1562718,015
28,1967,Sagadahoc,458766,373002,023
29,1967,Washington,2180461,1776625,029
30,1967,York,1031596,870274,031
31,1967,Total,16489196,13597869,
32,1968,Cumberland,2990970,2118740,005
33,1968,Hancock,5116946,3756795,009
34,1968,Knox,5612580,4176368,013
35,1968,Lincoln,2212151,1554841,015
36,1968,Sagadahoc,468812,333425,023
37,1968,Washington,2924994,2110909,029
38,1968,York,1175279,880593,031
39,1968,Total,20501732,14931671,
40,1969,Cumberland,2868176,2287009,005
41,1969,Hancock,5258582,4260884,009
42,1969,Knox,5259009,4339129,013
43,1969,Lincoln,2266981,1810627,015
44,1969,Sagadahoc,488379,399637,023
45,1969,Washington,2589251,2028439,029
46,1969,York,1104402,921104,031
47,1969,Total,19834780,16046829,
48,1970,Cumberland,2864275,2498944,005
49,1970,Hancock,4625588,4493896,009
50,1970,Knox,4685018,4602267,013
51,1970,Lincoln,2236007,2065926,015
52,1970,Sagadahoc,505049,456877,023
53,1970,Washington,2248415,2146280,029
54,1970,York,1007917,937311,031
55,1970,Total,18172269,17201501,
56,1971,Cumberland,2962199,2786716,005
57,1971,Hancock,4302251,4396725,009
58,1971,Knox,4416189,4453354,013
59,1971,Lincoln,2095061,2035796,015
60,1971,Sagadahoc,490068,469240,023
61,1971,Washington,2170426,2236846,029
62,1971,York,1122157,1102614,031
63,1971,Total,17558351,17481291,
64,1972,Cumberland,2622846,2735260,005
65,1972,Hancock,4003749,4775455,009
66,1972,Knox,4383479,5117064,013
67,1972,Lincoln,1831550,1996528,015
68,1972,Sagadahoc,526695,586331,023
69,1972,Washington,1906159,2248937,029
70,1972,York,981989,1127880,031
71,1972,Total,16256467,18587455,
72,1973,Cumberland,2359302,3071620,005
73,1973,Hancock,4659668,6423905,009
